64,1,368598.724781
64,256,136309859.738
1024,1,1469015.29743
1024,256,467779069.923
64,4,1847805.77206
64,16,8179528.47723
64,128,74407552.6317
256,4,4396533.99772
256,16,17789802.7311
256,32,36658965.2602
256,64,83092542.7498
256,128,182484128.114
256,256,358139392.227
1024,2,3143840.66835
1024,4,5546764.35885
1024,8,11014255.796
1024,16,23666230.8331
1024,32,50827845.7723
1024,64,111316624.323
1024,128,233113483.901
