1,1200000,296835782027
1,3001000,736030395045
256,1200000,1.06918217819e+16
256,3001000,3.20566930178e+16
4,3001000,8.79818128404e+12
16,1400000,4.66590572114e+13
16,2300000,6.62838418865e+13
32,1200000,1.50617802449e+14
32,1500000,1.78776008773e+14
32,1900000,2.17827277342e+14
32,2300000,2.38726989019e+14
32,2500000,2.5581617128e+14
32,2700000,2.94821677699e+14
32,2900000,2.73935121132e+14
32,3000000,3.26069037783e+14
64,1200000,6.5851559349e+14
64,1400000,6.75040018268e+14
64,1600000,7.70063471714e+14
64,1800000,8.91674631246e+14
64,1900000,9.14266006037e+14
64,2000000,9.61117921091e+14
64,2100000,1.0830311159e+15
64,2300000,1.21838863898e+15
64,2500000,1.32675663421e+15
64,2700000,1.43604680311e+15
64,2900000,1.46345444446e+15
64,3000000,1.42167511968e+15
64,3001000,1.37558782348e+15
128,1200000,2.5144413074e+15
128,1400000,2.77933373432e+15
128,1500000,2.83654564468e+15
128,1600000,3.15526243039e+15
128,1800000,3.45118236243e+15
128,1900000,3.71500124778e+15
128,2000000,3.89644787911e+15
128,2100000,4.11531577031e+15
128,2300000,4.74551977819e+15
128,2400000,4.84038489705e+15
128,2500000,5.2283311202e+15
128,2700000,5.48172204637e+15
128,2800000,6.30144801304e+15
128,2900000,6.2508905539e+15
128,3000000,6.32206601829e+15
128,3001000,7.36780401415e+15
256,1400000,1.16388102101e+16
256,1500000,1.11174656608e+16
256,1600000,1.25221884669e+16
256,1800000,1.49468718462e+16
256,1900000,1.468022513e+16
256,2000000,1.54642127154e+16
256,2100000,1.65072763423e+16
256,2300000,2.08248675151e+16
256,2400000,1.86574133761e+16
256,2500000,2.01386128979e+16
256,2700000,2.38441779462e+16
256,2800000,2.52856646169e+16
256,2900000,2.56482815535e+16
256,3000000,2.78334409382e+16
