Machine,Media,Frequency,File Size,Record Size,Num Threads,Iteration,Test,Throughput,Runtime
m01,SSD,3500000,12288,4,4,0,Initial_Write,2632069.50,8
m01,SSD,3500000,12288,4,4,0,rewriters,3968766.38,8
m01,SSD,3500000,12288,4,16,0,initial_writers,6025279.72,9
m01,SSD,3500000,12288,4,16,0,rewriters,6570120.59,9
m01,SSD,3500000,12288,4,64,0,initial_writers,8338520.37,11
m01,SSD,3500000,12288,4,64,0,rewriters,11408202.80,11
m01,SSD,3500000,12288,1024,4,0,initial_writers,2972915.56,8
m01,SSD,3500000,12288,1024,4,0,rewriters,3435937.62,8
m01,SSD,3500000,12288,1024,16,0,initial_writers,5325542.78,9
m01,SSD,3500000,12288,1024,16,0,rewriters,5614116.81,9
m01,SSD,3500000,12288,1024,64,0,initial_writers,4639128.99,11
m01,SSD,3500000,12288,1024,64,0,rewriters,5719356.75,11
m01,SSD,3500000,12288,16384,4,0,initial_writers,0.00,8
m01,SSD,3500000,12288,16384,4,0,rewriters,0.00,8
m01,SSD,3500000,12288,16384,16,0,initial_writers,0.00,8
m01,SSD,3500000,12288,16384,16,0,rewriters,0.00,8
m01,SSD,3500000,12288,16384,64,0,initial_writers,0.00,8
m01,SSD,3500000,12288,16384,64,0,rewriters,0.00,8
m01,SSD,2600000,12288,4,4,0,initial_writers,2619930.75,8
m01,SSD,2600000,12288,4,4,0,rewriters,3774679.25,8
m01,SSD,2600000,12288,4,16,0,initial_writers,5932845.88,9
m01,SSD,2600000,12288,4,16,0,rewriters,6211192.53,9
m01,SSD,2600000,12288,4,64,0,initial_writers,7703008.30,11
m01,SSD,2600000,12288,4,64,0,rewriters,11313654.15,11
m01,SSD,2600000,12288,1024,4,0,initial_writers,2724307.38,8
m01,SSD,2600000,12288,1024,4,0,rewriters,3529712.19,8
m01,SSD,2600000,12288,1024,16,0,initial_writers,4919028.03,9
m01,SSD,2600000,12288,1024,16,0,rewriters,6223560.38,9
m01,SSD,2600000,12288,1024,64,0,initial_writers,5983738.32,11
m01,SSD,2600000,12288,1024,64,0,rewriters,5293817.61,11
m01,SSD,2600000,12288,16384,4,0,initial_writers,0.00,8
m01,SSD,2600000,12288,16384,4,0,rewriters,0.00,8
m01,SSD,2600000,12288,16384,16,0,initial_writers,0.00,8
m01,SSD,2600000,12288,16384,16,0,rewriters,0.00,8
m01,SSD,2600000,12288,16384,64,0,initial_writers,0.00,8
m01,SSD,2600000,12288,16384,64,0,rewriters,0.00,8
m01,SSD,1400000,12288,4,4,0,initial_writers,2628203.94,8
m01,SSD,1400000,12288,4,4,0,rewriters,3660669.12,8
m01,SSD,1400000,12288,4,16,0,initial_writers,5705289.84,9
m01,SSD,1400000,12288,4,16,0,rewriters,6713032.75,9
m01,SSD,1400000,12288,4,64,0,initial_writers,7020394.55,11
m01,SSD,1400000,12288,4,64,0,rewriters,10143628.93,11
m01,SSD,1400000,12288,1024,4,0,initial_writers,2811699.12,8
m01,SSD,1400000,12288,1024,4,0,rewriters,3598200.38,8
m01,SSD,1400000,12288,1024,16,0,initial_writers,5214352.25,9
m01,SSD,1400000,12288,1024,16,0,rewriters,5701402.16,9
m01,SSD,1400000,12288,1024,64,0,initial_writers,5202041.65,12
m01,SSD,1400000,12288,1024,64,0,rewriters,5630513.46,12
m01,SSD,1400000,12288,16384,4,0,initial_writers,0.00,8
m01,SSD,1400000,12288,16384,4,0,rewriters,0.00,8
m01,SSD,1400000,12288,16384,16,0,initial_writers,0.00,8
m01,SSD,1400000,12288,16384,16,0,rewriters,0.00,8
m01,SSD,1400000,12288,16384,64,0,initial_writers,0.00,8
m01,SSD,1400000,12288,16384,64,0,rewriters,0.00,8
m01,SSD,3500000,24576,4,4,0,initial_writers,3131788.94,8
m01,SSD,3500000,24576,4,4,0,rewriters,4462450.50,8
m01,SSD,3500000,24576,4,16,0,initial_writers,6372500.94,10
m01,SSD,3500000,24576,4,16,0,rewriters,8415535.38,10
m01,SSD,3500000,24576,4,64,0,initial_writers,7934318.24,15
m01,SSD,3500000,24576,4,64,0,rewriters,8469495.51,15
m01,SSD,3500000,24576,1024,4,0,initial_writers,3532280.88,8
m01,SSD,3500000,24576,1024,4,0,rewriters,4445754.81,8
m01,SSD,3500000,24576,1024,16,0,initial_writers,5561129.22,10
m01,SSD,3500000,24576,1024,16,0,rewriters,7087427.81,10
m01,SSD,3500000,24576,1024,64,0,initial_writers,6398423.25,14
m01,SSD,3500000,24576,1024,64,0,rewriters,6005714.70,14
m01,SSD,3500000,24576,16384,4,0,initial_writers,1091100.50,8
m01,SSD,3500000,24576,16384,4,0,rewriters,818997.69,8
m01,SSD,3500000,24576,16384,16,0,initial_writers,394586.19,10
m01,SSD,3500000,24576,16384,16,0,rewriters,314853.16,10
m01,SSD,3500000,24576,16384,64,0,initial_writers,417712.50,12
m01,SSD,3500000,24576,16384,64,0,rewriters,438248.53,12
m01,SSD,2600000,24576,4,4,0,initial_writers,3258880.19,8
m01,SSD,2600000,24576,4,4,0,rewriters,4364470.06,8
m01,SSD,2600000,24576,4,16,0,initial_writers,6010501.56,10
m01,SSD,2600000,24576,4,16,0,rewriters,5790206.38,10
m01,SSD,2600000,24576,4,64,0,initial_writers,7076590.74,14
m01,SSD,2600000,24576,4,64,0,rewriters,10828350.58,14
m01,SSD,2600000,24576,1024,4,0,initial_writers,3327441.44,8
m01,SSD,2600000,24576,1024,4,0,rewriters,4417775.25,8
m01,SSD,2600000,24576,1024,16,0,initial_writers,5822218.09,10
m01,SSD,2600000,24576,1024,16,0,rewriters,5172123.38,10
m01,SSD,2600000,24576,1024,64,0,initial_writers,5957106.64,14
m01,SSD,2600000,24576,1024,64,0,rewriters,5966556.58,14
m01,SSD,2600000,24576,16384,4,0,initial_writers,844969.06,8
m01,SSD,2600000,24576,16384,4,0,rewriters,755094.31,8
m01,SSD,2600000,24576,16384,16,0,initial_writers,385143.12,10
m01,SSD,2600000,24576,16384,16,0,rewriters,299299.81,10
m01,SSD,2600000,24576,16384,64,0,initial_writers,352283.25,13
m01,SSD,2600000,24576,16384,64,0,rewriters,249353.30,13
m01,SSD,1400000,24576,4,4,0,initial_writers,3146415.06,8
m01,SSD,1400000,24576,4,4,0,rewriters,4307952.31,8
m01,SSD,1400000,24576,4,16,0,initial_writers,6197891.25,10
m01,SSD,1400000,24576,4,16,0,rewriters,7209455.31,10
m01,SSD,1400000,24576,4,64,0,initial_writers,7253839.50,14
m01,SSD,1400000,24576,4,64,0,rewriters,10762286.83,14
m01,SSD,1400000,24576,1024,4,0,initial_writers,3408679.06,8
m01,SSD,1400000,24576,1024,4,0,rewriters,4469521.00,8
m01,SSD,1400000,24576,1024,16,0,initial_writers,5697912.84,10
m01,SSD,1400000,24576,1024,16,0,rewriters,6704810.66,10
m01,SSD,1400000,24576,1024,64,0,initial_writers,5385855.86,14
m01,SSD,1400000,24576,1024,64,0,rewriters,5705076.43,14
m01,SSD,1400000,24576,16384,4,0,initial_writers,841286.44,8
m01,SSD,1400000,24576,16384,4,0,rewriters,682866.75,8
m01,SSD,1400000,24576,16384,16,0,initial_writers,365405.09,10
m01,SSD,1400000,24576,16384,16,0,rewriters,321305.50,10
m01,SSD,1400000,24576,16384,64,0,initial_writers,216472.83,12
m01,SSD,1400000,24576,16384,64,0,rewriters,405724.31,12
m01,SSD,3500000,49152,4,4,0,initial_writers,3757076.12,9
m01,SSD,3500000,49152,4,4,0,rewriters,5040893.75,9
m01,SSD,3500000,49152,4,16,0,initial_writers,6212563.06,12
m01,SSD,3500000,49152,4,16,0,rewriters,7422466.44,12
m01,SSD,3500000,49152,4,64,0,initial_writers,6960351.18,22
m01,SSD,3500000,49152,4,64,0,rewriters,8230600.27,22
m01,SSD,3500000,49152,1024,4,0,initial_writers,3954518.50,9
m01,SSD,3500000,49152,1024,4,0,rewriters,5347044.38,9
m01,SSD,3500000,49152,1024,16,0,initial_writers,6056067.28,12
m01,SSD,3500000,49152,1024,16,0,rewriters,5404647.12,12
m01,SSD,3500000,49152,1024,64,0,initial_writers,6369677.68,20
m01,SSD,3500000,49152,1024,64,0,rewriters,5752503.79,20
m01,SSD,3500000,49152,16384,4,0,initial_writers,3015693.50,9
m01,SSD,3500000,49152,16384,4,0,rewriters,3150008.06,9
m01,SSD,3500000,49152,16384,16,0,initial_writers,4476644.62,13
m01,SSD,3500000,49152,16384,16,0,rewriters,3794321.45,13
m01,SSD,3500000,49152,16384,64,0,initial_writers,3019428.68,22
m01,SSD,3500000,49152,16384,64,0,rewriters,1304848.80,22
m01,SSD,2600000,49152,4,4,0,initial_writers,3553334.50,9
m01,SSD,2600000,49152,4,4,0,rewriters,4697465.38,9
m01,SSD,2600000,49152,4,16,0,initial_writers,6319864.53,13
m01,SSD,2600000,49152,4,16,0,rewriters,6928100.69,13
m01,SSD,2600000,49152,4,64,0,initial_writers,7160557.29,26
m01,SSD,2600000,49152,4,64,0,rewriters,7942144.88,26
m01,SSD,2600000,49152,1024,4,0,initial_writers,3998486.38,9
m01,SSD,2600000,49152,1024,4,0,rewriters,5289933.12,9
m01,SSD,2600000,49152,1024,16,0,initial_writers,5851737.91,13
m01,SSD,2600000,49152,1024,16,0,rewriters,6887217.31,13
m01,SSD,2600000,49152,1024,64,0,initial_writers,6247319.43,21
m01,SSD,2600000,49152,1024,64,0,rewriters,6231864.71,21
m01,SSD,2600000,49152,16384,4,0,initial_writers,2862692.75,9
m01,SSD,2600000,49152,16384,4,0,rewriters,3124243.81,9
m01,SSD,2600000,49152,16384,16,0,initial_writers,4158938.75,13
m01,SSD,2600000,49152,16384,16,0,rewriters,3433381.05,13
m01,SSD,2600000,49152,16384,64,0,initial_writers,2925886.83,21
m01,SSD,2600000,49152,16384,64,0,rewriters,1124936.55,21
m01,SSD,1400000,49152,4,4,0,initial_writers,3304245.69,9
m01,SSD,1400000,49152,4,4,0,rewriters,4961210.88,9
m01,SSD,1400000,49152,4,16,0,initial_writers,6395230.03,12
m01,SSD,1400000,49152,4,16,0,rewriters,7577188.47,12
m01,SSD,1400000,49152,4,64,0,initial_writers,7047402.54,21
m01,SSD,1400000,49152,4,64,0,rewriters,8876704.38,21
m01,SSD,1400000,49152,1024,4,0,initial_writers,3714117.75,9
m01,SSD,1400000,49152,1024,4,0,rewriters,4640416.94,9
m01,SSD,1400000,49152,1024,16,0,initial_writers,5871040.28,13
m01,SSD,1400000,49152,1024,16,0,rewriters,7661925.62,13
m01,SSD,1400000,49152,1024,64,0,initial_writers,6290811.89,23
m01,SSD,1400000,49152,1024,64,0,rewriters,6214467.93,23
m01,SSD,1400000,49152,16384,4,0,initial_writers,2616306.25,9
m01,SSD,1400000,49152,16384,4,0,rewriters,3094279.56,9
m01,SSD,1400000,49152,16384,16,0,initial_writers,4292289.31,13
m01,SSD,1400000,49152,16384,16,0,rewriters,3608440.88,13
m01,SSD,1400000,49152,16384,64,0,initial_writers,619254.61,20
m01,SSD,1400000,49152,16384,64,0,rewriters,749226.28,20
m01,SSD,3500000,98304,4,4,0,initial_writers,4140580.06,10
m01,SSD,3500000,98304,4,4,0,rewriters,5990844.50,10
m01,SSD,3500000,98304,4,16,0,initial_writers,6730753.31,18
m01,SSD,3500000,98304,4,16,0,rewriters,8707715.84,18
m01,SSD,3500000,98304,4,64,0,initial_writers,2102453.15,35
m01,SSD,3500000,98304,4,64,0,rewriters,8099119.24,35
m01,SSD,3500000,98304,1024,4,0,initial_writers,4252792.69,10
m01,SSD,3500000,98304,1024,4,0,rewriters,6050677.12,10
m01,SSD,3500000,98304,1024,16,0,initial_writers,6242901.09,17
m01,SSD,3500000,98304,1024,16,0,rewriters,6162290.72,17
m01,SSD,3500000,98304,1024,64,0,initial_writers,6261637.18,35
m01,SSD,3500000,98304,1024,64,0,rewriters,6880225.58,35
m01,SSD,3500000,98304,16384,4,0,initial_writers,3817921.81,10
m01,SSD,3500000,98304,16384,4,0,rewriters,4235429.81,10
m01,SSD,3500000,98304,16384,16,0,initial_writers,5174917.00,18
m01,SSD,3500000,98304,16384,16,0,rewriters,5159334.88,18
m01,SSD,3500000,98304,16384,64,0,initial_writers,674250.52,34
m01,SSD,3500000,98304,16384,64,0,rewriters,2308114.24,34
m01,SSD,2600000,98304,4,4,0,initial_writers,3927054.81,10
m01,SSD,2600000,98304,4,4,0,rewriters,5369468.88,10
m01,SSD,2600000,98304,4,16,0,initial_writers,6623786.28,18
m01,SSD,2600000,98304,4,16,0,rewriters,8072531.09,18
m01,SSD,2600000,98304,4,64,0,initial_writers,7116228.29,40
m01,SSD,2600000,98304,4,64,0,rewriters,3761444.27,40
m01,SSD,2600000,98304,1024,4,0,initial_writers,4042100.56,10
m01,SSD,2600000,98304,1024,4,0,rewriters,5794351.25,10
m01,SSD,2600000,98304,1024,16,0,initial_writers,6064635.38,17
m01,SSD,2600000,98304,1024,16,0,rewriters,5998279.12,17
m01,SSD,2600000,98304,1024,64,0,initial_writers,5944570.88,42
m01,SSD,2600000,98304,1024,64,0,rewriters,957759.22,42
m01,SSD,2600000,98304,16384,4,0,initial_writers,3770424.06,11
m01,SSD,2600000,98304,16384,4,0,rewriters,4638671.25,11
m01,SSD,2600000,98304,16384,16,0,initial_writers,5188404.88,18
m01,SSD,2600000,98304,16384,16,0,rewriters,5546537.52,18
m01,SSD,2600000,98304,16384,64,0,initial_writers,636626.12,33
m01,SSD,2600000,98304,16384,64,0,rewriters,1251202.19,33
m01,SSD,1400000,98304,4,4,0,initial_writers,4011292.44,10
m01,SSD,1400000,98304,4,4,0,rewriters,5172942.75,10
m01,SSD,1400000,98304,4,16,0,initial_writers,6666545.62,17
m01,SSD,1400000,98304,4,16,0,rewriters,8089485.34,17
m01,SSD,1400000,98304,4,64,0,initial_writers,970334.49,38
m01,SSD,1400000,98304,4,64,0,rewriters,1911873.70,38
m01,SSD,1400000,98304,1024,4,0,initial_writers,4200863.81,10
m01,SSD,1400000,98304,1024,4,0,rewriters,5755068.12,10
m01,SSD,1400000,98304,1024,16,0,initial_writers,6253215.84,17
m01,SSD,1400000,98304,1024,16,0,rewriters,6398480.78,17
m01,SSD,1400000,98304,1024,64,0,initial_writers,1478635.28,43
m01,SSD,1400000,98304,1024,64,0,rewriters,850130.84,43
m01,SSD,1400000,98304,16384,4,0,initial_writers,3615981.69,11
m01,SSD,1400000,98304,16384,4,0,rewriters,4044545.81,11
m01,SSD,1400000,98304,16384,16,0,initial_writers,5021443.75,18
m01,SSD,1400000,98304,16384,16,0,rewriters,5120230.34,18
m01,SSD,1400000,98304,16384,64,0,initial_writers,2361673.22,33
m01,SSD,1400000,98304,16384,64,0,rewriters,1285051.06,33
m01,SSD,3500000,196608,4,4,0,initial_writers,4187179.69,13
m01,SSD,3500000,196608,4,4,0,rewriters,5841962.62,13
m01,SSD,3500000,196608,4,16,0,initial_writers,1403689.09,26
m01,SSD,3500000,196608,4,16,0,rewriters,7685368.31,26
