Tensorflow network name,Number of steps,Batch size,input data,DB,TIme (sec) 1,TIme (sec) 2,TIme (sec) 3,TIme (sec) 4,TIme (sec) 5,TIme (sec) 6,TIme (sec) 7,TIme (sec) 8,TIme (sec) 9,TIme (sec) 10,TIme (sec) 11,TIme (sec) 12,TIme (sec) 13,TIme (sec) 14,TIme (sec) 15,TIme (sec) 16,TIme (sec) 17,TIme (sec) 18,TIme (sec) 19,TIme (sec) 20,TIme (sec) 21,TIme (sec) 22,TIme (sec) 23,TIme (sec) 24,TIme (sec) 25,TIme (sec) 26,TIme (sec) 27,TIme (sec) 28,TIme (sec) 29,TIme (sec) 30
resnet50,5000,1024,imagenet 32,lustre,1053.15,1079.57,1047.66,1105.45,1060.04,1072.55,1056.57,1040.76,1057.57,1046.45,1055.77,1053.06,1053.32,1052.05,1054.93,1096.08,1054.86,1056.67,1178.61,1077.03,1085.87,1145.97,1048.29,1066.52,1090.86,1149.55,1089.01,1255.07,1402.11,1719.67
resnet50,2500,2048,imagenet 32,lustre,694.9,722.46,707.08,738.53,690.44,669.37,672.54,700.27,676.99,710.74,788.33,659.41,658.47,669.2,668.57,659.91,662.86,668.74,704.24,658.43,669.65,659.25,701.6,666.19,670.25,761.2,676.04,736.95,666.53,670.49
resnet50,5000,1024,imagenet 64,lustre,1229,1211,3339,1194,1201,1348,1197,1209,1181,1202,1395,12441,1217,1227,1203,1220,1257,1914,1183,1194,1219,1322,1207,1177,1255,1205,3388,1209,1302,1202
resnet50,2500,2048,imagenet 64,lustre,738,737,842,741,856,734,725,722,726,1829,734,825,864,724,736,766,739,726,736,725,754,771,730,738,728,747,730,750,743,779
xception,5000,1024,imagenet 32,lustre,555.89,746.55,553.78,555.53,572.92,556.7,582.83,556.54,596.75,555.28,555.95,556.91,557.27,591.89,554.07,576.49,552.58,606.19,562.24,570.93,559.7,572.66,652.14,605.92,561.18,555.99,559.18,600.95,557.22,590.81
xception,2500,2048,imagenet 32,lustre,394,393.27,390.61,396.92,409.3,467.1,394.68,437.61,423.07,390.89,433.63,393.28,436.96,396.29,390.5,389.87,389.99,389.09,392.43,405.95,391.63,391.59,410.1,390.9,390.46,391.87,420.51,392.76,391.68,418.72
xception,5000,1024,imagenet 64,lustre,1221.11,1158.52,1152.15,1163.7,1167.17,1151.11,1150.61,1152.49,1187.25,1150.11,1149.69,1146.61,1156.66,1193.86,1150.99,1162.07,1195.61,1325.53,1240.64,1176.44,1179.45,1157.21,1152.07,1181.22,1158.05,1146.42,1161.93,1201.21,1183.65,1150.14
xception,2500,2048,imagenet 64,lustre,757.59,691.64,689.41,689.24,719.56,689.33,690.92,695.64,721.01,705.78,693.22,690.89,689.02,731.82,690.18,694.44,690.42,717.02,688.49,706.43,739.64,698.13,690.28,749.25,705.8,697.57,706.65,702.85,690.25,728.48
resnet50,5000,1024,imagenet 32,nvme,1090.76,1061.96,1125.76,1058.02,1095.73,1059.44,1066.08,1063.05,1065.17,1061.76,1157.74,1083.27,1156.77,1063.43,1074.28,1066.51,1067.76,1084.79,1068.59,1113.08,1066.08,1187.16,1129.64,1069.46,1094.81,1062.1,1059.53,1117.66,1073.09,1059.76
resnet50,2500,2048,imagenet 32,nvme,662.5,712.52,667.54,668.34,668.92,659.39,729.43,717.3,671.82,669.04,769.46,672.83,671.55,806.14,668.98,674.96,700.79,672.18,665.59,672.51,673.45,671.8,673.03,672.3,670.52,675.05,671.93,674.83,674.69,670.86
resnet50,5000,1024,imagenet 64,nvme,1204.41,1208.61,1279.73,1191.76,1203.15,1215.95,1210.37,1211.12,1189.95,1170.94,1179.88,1210.18,1267.39,1251.02,1218.45,1225.75,1189.08,1201.51,1190.43,1283.6,1204.21,1195.06,1193.05,1174.85,,,,,,
resnet50,2500,2048,imagenet 64,nvme,831.66,733.12,748.99,733.44,730.88,816.88,732.3,723.95,797.46,736.82,736.48,738.24,736.8,753.29,733.71,730.14,746.99,747.73,747.91,849.64,723.34,,,,,,,,,
xception,5000,1024,imagenet 32,tmp,1174.22,1127.43,1953.4,1166.02,1163.82,1180.64,1127.52,1203.38,1141.26,1131.65,1173.04,1127.29,1128.14,1160.23,1161.61,1175.3,1285.19,1258.81,1164.14,1131,1196.24,1148.11,1128.47,1175.86,1180.22,1134.25,1128.25,1140.03,1131.22,1200.69
xception,2500,2048,imagenet 32,tmp,738.94,729.77,677.96,1560.11,708.53,678.8,823.29,696.32,697.61,699.25,680.98,714.92,691.78,676.89,713.32,720.02,719.71,676.82,678.35,712,683.9,680.03,911.24,677.11,702,677.18,694.69,680.25,724.36,699.13
xception,5000,1024,imagenet 64,tmp,1596.26,1275.16,1252.44,1264.48,1349.88,1275.46,1285.71,1251.12,1251.3,1289.33,1306.58,1332.26,1251.18,1253.48,1284.53,1280.65,1288.07,1262.64,1252.08,1304.43,1295.87,1277.51,1330.2,1784.01,1258.52,1281.43,1252.55,1262.22,1304.1,1342.09
xception,2500,2048,imagenet 64,tmp,815.5,735.56,735.78,764.73,774.09,783.34,771.68,749.29,797.48,761.05,791.04,766.73,735.85,797.93,772.78,770.78,768.58,739.14,738.21,739.12,789.8,760.6,756.45,735.58,768.36,749.69,736.02,736.66,765.26,755.36
resnet50,1250,4096,imagenet32,lustre,1010.54,894.09,904.21,894.16,895.73,915.15,894.64,898.18,894.03,968.66,945.88,891.54,974.2,973.22,897.69,954.28,893.25,932.59,1021.33,1008.55,950.85,956.04,894.96,895.43,903.16,912.46,890.79,891.52,900.15,926.48
resnet50,1250,4096,imagenet64,lustre,1084.99,1058.68,1127.36,1085.56,1066.35,1205.99,1062.22,1066.67,1116.23,1127.15,1111.24,1189.7,1232.7,1176.03,1071.95,1179.52,1331.34,1082.95,1225.21,1153.11,1061.88,1220.52,1064.97,1086.53,1049.55,1048.97,1290.8,1086.06,1069,1083.81
xception,1250,4096,imagenet32,lustre,556.09,812.46,466.97,439.7,419.01,417.29,432.66,422.89,416.86,416.98,590.45,415.56,441.27,437.13,416.65,439.68,428,416.51,471.85,427.41,462.09,425.42,416.47,476.94,418.11,447.5,418.67,467.71,526.1,446.52
xception,1250,4096,imagenet64,lustre,598.95,544.19,462.56,463.62,465.49,551.61,465.61,482.6,466.93,581.67,463.17,493.79,463.19,462.22,462.14,495.92,463.26,532.35,528.49,468.26,515.24,609.02,561.42,463.5,568.81,495.92,570.43,466.35,462.03,479.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,