Policy,Max Steps,Min Changes,Max Changes,Avg Changes,L2
Fixed Step,4,1,3,1.4285714285714286,0.017643230518116167
Fixed Step,4,1,1,1.0,0.00413272385639558
Fixed Step,4,1,1,1.0,187.52157311201333
Fixed Step,4,1,1,1.0,2.0479170643057127
Fixed Step,4,1,1,1.0,0.4179815613632476
Fixed Step,4,1,1,1.0,0.6741389580899022
Fixed Step,4,1,1,1.0,0.13528131539327828
Fixed Step,4,1,1,1.0,0.25107741783164356
Fixed Step,4,1,3,1.2222222222222223,3.714685934135949
Fixed Step,4,1,2,1.2222222222222223,0.1038674522668685
Fixed Step,4,1,1,1.0,0.0027753098547972266
Fixed Step,4,1,4,1.8571428571428572,0.014419665713024332
Fixed Step,4,1,3,1.3333333333333333,0.009405588736167285
Fixed Step,4,1,1,1.0,0.011238967022326112
Fixed Step,4,1,3,1.4285714285714286,52.360990853930346
Fixed Step,4,1,1,1.0,0.000954457580448856
Fixed Step,4,1,1,1.0,0.17105786815859853
Fixed Step,4,1,1,1.0,0.006676433845588728
Fixed Step,4,1,1,1.0,0.0005478324872663105
Fixed Step,4,1,4,1.3333333333333333,1.561886597082768
Fixed Step,8,1,3,1.4285714285714286,0.016290369317386737
Fixed Step,8,1,1,1.0,0.00413272385639558
Fixed Step,8,1,1,1.0,187.52157311201333
Fixed Step,8,1,1,1.0,2.0479170643057127
Fixed Step,8,1,1,1.0,0.4179815613632476
Fixed Step,8,1,1,1.0,0.6741389580899022
Fixed Step,8,1,1,1.0,0.13528131539327828
Fixed Step,8,1,1,1.0,0.25107741783164356
Fixed Step,8,1,3,1.2222222222222223,3.714685934135949
Fixed Step,8,1,3,1.3333333333333333,0.10386719696205025
Fixed Step,8,1,1,1.0,0.0027753098547972266
Fixed Step,8,1,6,2.2857142857142856,0.014419665713024332
Fixed Step,8,1,3,1.3333333333333333,0.009405588736167285
Fixed Step,8,1,1,1.0,0.011238967022326112
Fixed Step,8,1,4,1.5714285714285714,52.360990853930346
Fixed Step,8,1,1,1.0,0.000954457580448856
Fixed Step,8,1,1,1.0,0.17105786815859853
Fixed Step,8,1,1,1.0,0.006676433845588728
Fixed Step,8,1,1,1.0,0.0005478324872663105
Fixed Step,8,1,5,1.4444444444444444,1.561886597082768
Fixed Step,16,1,3,1.5714285714285714,0.01556070790543039
Fixed Step,16,1,1,1.0,0.00413272385639558
Fixed Step,16,1,1,1.0,187.52157311201333
Fixed Step,16,1,1,1.0,2.0479170643057127
Fixed Step,16,1,1,1.0,0.4179815613632476
Fixed Step,16,1,1,1.0,0.6741389580899022
Fixed Step,16,1,1,1.0,0.13528131539327828
Fixed Step,16,1,1,1.0,0.25107741783164356
Fixed Step,16,1,3,1.2222222222222223,3.714685934135949
Fixed Step,16,1,3,1.4444444444444444,0.10386780978571292
Fixed Step,16,1,1,1.0,0.0027753098547972266
Fixed Step,16,1,9,3.142857142857143,0.014419665713024332
Fixed Step,16,1,3,1.3333333333333333,0.009405588736167285
Fixed Step,16,1,1,1.0,0.011238967022326112
Fixed Step,16,1,6,1.8571428571428572,52.360990853930346
Fixed Step,16,1,1,1.0,0.000954457580448856
Fixed Step,16,1,1,1.0,0.17105786815859853
Fixed Step,16,1,1,1.0,0.006676433845588728
Fixed Step,16,1,1,1.0,0.0005478324872663105
Fixed Step,16,1,8,1.7777777777777777,1.561886597082768
Fixed Step,32,1,5,2.142857142857143,0.015457160937043909
Fixed Step,32,1,1,1.0,0.00413272385639558
Fixed Step,32,1,1,1.0,187.52157311201333
Fixed Step,32,1,1,1.0,2.0479170643057127
Fixed Step,32,1,1,1.0,0.4179815613632476
Fixed Step,32,1,1,1.0,0.6741389580899022
Fixed Step,32,1,1,1.0,0.13528131539327828
Fixed Step,32,1,1,1.0,0.25107741783164356
Fixed Step,32,1,3,1.2222222222222223,3.714685934135949
Fixed Step,32,1,5,1.8888888888888888,0.1038679949470362
Fixed Step,32,1,1,1.0,0.0027753098547972266
Fixed Step,32,1,14,3.0,0.013159841279750038
Fixed Step,32,1,3,1.3333333333333333,0.009405588736167285
Fixed Step,32,1,1,1.0,0.011238967022326112
Fixed Step,32,1,10,2.5714285714285716,52.360990853930346
Fixed Step,32,1,1,1.0,0.000954457580448856
Fixed Step,32,1,1,1.0,0.17105786815859853
Fixed Step,32,1,1,1.0,0.006676433845588728
Fixed Step,32,1,1,1.0,0.0005478324872663105
Fixed Step,32,1,2,1.1111111111111112,1.5613138787367482
Fixed Step,64,1,9,3.2857142857142856,0.015405534822188175
Fixed Step,64,1,1,1.0,0.00413272385639558
Fixed Step,64,1,1,1.0,187.52157311201333
Fixed Step,64,1,1,1.0,2.0479170643057127
Fixed Step,64,1,1,1.0,0.4179815613632476
Fixed Step,64,1,1,1.0,0.6741389580899022
Fixed Step,64,1,1,1.0,0.13528131539327828
Fixed Step,64,1,1,1.0,0.25107741783164356
Fixed Step,64,1,3,1.2222222222222223,3.714685934135949
Fixed Step,64,1,8,2.5555555555555554,0.10386808285578687
Fixed Step,64,1,1,1.0,0.0027753098547972266
Fixed Step,64,1,25,4.571428571428571,0.012987505781210275
Fixed Step,64,1,3,1.3333333333333333,0.009405588736167285
Fixed Step,64,1,1,1.0,0.011238967022326112
Fixed Step,64,1,16,3.4285714285714284,52.360990853930346
Fixed Step,64,1,1,1.0,0.000954457580448856
Fixed Step,64,1,1,1.0,0.17105786815859853
Fixed Step,64,1,1,1.0,0.006676433845588728
Fixed Step,64,1,1,1.0,0.0005478324872663105
Fixed Step,64,1,2,1.1111111111111112,1.5612360169907806
Fixed Step,128,1,17,5.571428571428571,0.015379758607094686
Fixed Step,128,1,1,1.0,0.00413272385639558
Fixed Step,128,1,1,1.0,187.52157311201333
Fixed Step,128,1,1,1.0,2.0479170643057127
Fixed Step,128,1,1,1.0,0.4179815613632476
Fixed Step,128,1,1,1.0,0.6741389580899022
Fixed Step,128,1,1,1.0,0.13528131539327828
Fixed Step,128,1,1,1.0,0.25107741783164356
Fixed Step,128,1,4,1.3333333333333333,3.714685934135949
Fixed Step,128,1,15,4.111111111111111,0.10386813193888869
Fixed Step,128,1,1,1.0,0.0027753098547972266
Fixed Step,128,1,47,7.714285714285714,0.012902671269848856
Fixed Step,128,1,3,1.3333333333333333,0.009405588736167285
Fixed Step,128,1,1,1.0,0.011238967022326112
Fixed Step,128,1,4,1.7142857142857142,52.394739958250405
Fixed Step,128,1,1,1.0,0.000954457580448856
Fixed Step,128,1,1,1.0,0.17105786815859853
Fixed Step,128,1,1,1.0,0.006676433845588728
Fixed Step,128,1,1,1.0,0.0005478324872663105
Fixed Step,128,1,2,1.1111111111111112,1.5611975946619108
Fixed Step,256,1,33,10.142857142857142,0.015366879710131535
Fixed Step,256,1,1,1.0,0.00413272385639558
Fixed Step,256,1,1,1.0,187.52157311201333
Fixed Step,256,1,1,1.0,2.0479170643057127
Fixed Step,256,1,1,1.0,0.4179815613632476
Fixed Step,256,1,1,1.0,0.6741389580899022
Fixed Step,256,1,1,1.0,0.13528131539327828
Fixed Step,256,1,1,1.0,0.25107741783164356
Fixed Step,256,1,5,1.4444444444444444,3.714685934135949
Fixed Step,256,1,28,7.0,0.1038681566808422
Fixed Step,256,1,1,1.0,0.0027753098547972266
Fixed Step,256,1,91,14.0,0.012860587323645263
Fixed Step,256,1,4,1.5,0.009405588736167285
Fixed Step,256,1,1,1.0,0.011238967022326112
Fixed Step,256,1,6,2.4285714285714284,52.395486483121175
Fixed Step,256,1,1,1.0,0.000954457580448856
Fixed Step,256,1,1,1.0,0.17105786815859853
Fixed Step,256,1,1,1.0,0.006676433845588728
Fixed Step,256,1,1,1.0,0.0005478324872663105
Fixed Step,256,1,2,1.1111111111111112,1.561178510633504
Fixed Step,512,1,64,19.0,0.015355472408500142
Fixed Step,512,1,1,1.0,0.00413272385639558
Fixed Step,512,1,1,1.0,187.52157311201333
Fixed Step,512,1,1,1.0,2.0479170643057127
Fixed Step,512,1,1,1.0,0.4179815613632476
Fixed Step,512,1,1,1.0,0.6741389580899022
Fixed Step,512,1,1,1.0,0.13528131539327828
Fixed Step,512,1,1,1.0,0.25107741783164356
Fixed Step,512,1,7,1.6666666666666667,3.714685934135949
Fixed Step,512,1,55,12.88888888888889,0.10386818021424683
Fixed Step,512,1,1,1.0,0.0027753098547972266
Fixed Step,512,1,180,26.714285714285715,0.012839628677912744
Fixed Step,512,1,5,1.6666666666666667,0.009405588736167285
Fixed Step,512,1,1,1.0,0.011238967022326112
Fixed Step,512,1,11,3.7142857142857144,52.403395624080105
Fixed Step,512,1,1,1.0,0.000954457580448856
Fixed Step,512,1,1,1.0,0.17105786815859853
Fixed Step,512,1,1,1.0,0.006676433845588728
Fixed Step,512,1,1,1.0,0.0005478324872663105
Fixed Step,512,1,2,1.1111111111111112,1.5611690004033079
Fixed Step,1024,1,126,36.714285714285715,0.015349771013185846
Fixed Step,1024,1,1,1.0,0.00413272385639558
Fixed Step,1024,1,1,1.0,187.52157311201333
Fixed Step,1024,1,1,1.0,2.0479170643057127
Fixed Step,1024,1,1,1.0,0.4179815613632476
Fixed Step,1024,1,1,1.0,0.6741389580899022
Fixed Step,1024,1,1,1.0,0.13528131539327828
Fixed Step,1024,1,1,1.0,0.25107741783164356
Fixed Step,1024,1,12,2.2222222222222223,3.714685934135949
Fixed Step,1024,1,108,24.77777777777778,0.1038681754844521
Fixed Step,1024,1,1,1.0,0.0027753098547972266
Fixed Step,1024,1,357,52.0,0.012829170186888804
Fixed Step,1024,1,8,2.1666666666666665,0.009405588736167285
Fixed Step,1024,1,1,1.0,0.011238967022326112
Fixed Step,1024,1,19,6.0,52.40676559054934
Fixed Step,1024,1,1,1.0,0.000954457580448856
Fixed Step,1024,1,1,1.0,0.17105786815859853
Fixed Step,1024,1,1,1.0,0.006676433845588728
Fixed Step,1024,1,1,1.0,0.0005478324872663105
Fixed Step,1024,1,2,1.1111111111111112,1.5611642532342116
